tid[s],T1,2Hz,sorted T1
0,59.71999,4.966667,83.89999
1.0,59.49333,4.966667,82.75332
2.0,60.40666,4.958133,82.52665999999999
3.0,59.49333,4.979733,82.40666
4.0,60.866659999999996,4.979733,82.17999
5.0,61.09331999999999,4.966667,82.17999
6.0,60.18,4.966667,81.95331999999999
7.0,60.18,4.979733,81.95331999999999
8.0,60.64,4.975467,81.83333
9.0,61.786660000000005,4.979733,81.71999
10.0,60.753330000000005,4.9536,81.60665999999999
11.0,61.21333,4.975467,81.60665999999999
12.0,61.32666,4.979733,81.49332
13.0,61.43999,4.9624,81.37999
14.0,60.866659999999996,4.9624,81.37999
15.0,60.64,4.975467,81.25999
16.0,62.69999000000001,4.958133,81.25999
17.0,62.359989999999996,4.975467,81.14666
18.0,61.21333,4.9536,81.03333
19.0,62.013329999999996,4.975467,81.03333
20.0,62.359989999999996,4.975467,80.91999
21.0,62.013329999999996,4.979733,80.91999
22.0,61.786660000000005,4.975467,80.80666
23.0,62.23999,4.988533,80.80666
24.0,62.12666,4.966667,80.69332999999999
25.0,61.32666,4.970933,80.69332999999999
26.0,62.013329999999996,4.966667,80.69332999999999
27.0,63.49999,4.945067,80.57333
28.0,61.553329999999995,4.979733,80.45999
29.0,64.30666000000001,4.966667,80.45999
30.0,62.92666,4.975467,80.45999
31.0,62.69999000000001,4.970933,80.34666
32.0,63.49999,4.979733,80.34666
33.0,64.30666000000001,4.975467,80.23331999999999
34.0,64.30666000000001,4.975467,80.23331999999999
35.0,63.160000000000004,4.979733,80.23331999999999
36.0,62.58666,4.966667,80.11999
37.0,63.160000000000004,4.966667,80.11999
38.0,63.733329999999995,4.958133,79.99999
39.0,64.19333,4.958133,79.99999
40.0,64.99333,4.979733,79.99999
41.0,64.53332999999999,4.979733,79.88665999999999
42.0,63.38665999999999,4.979733,79.88665999999999
43.0,64.64666,4.975467,79.77332
44.0,64.07332,4.9536,79.77332
45.0,64.53332999999999,4.966667,79.77332
46.0,63.733329999999995,4.9624,79.65999000000001
47.0,63.62,4.958133,79.65999000000001
48.0,64.53332999999999,4.979733,79.65999000000001
49.0,64.64666,4.970933,79.54666
50.0,64.53332999999999,4.958133,79.54666
51.0,65.10666,4.979733,79.42666
52.0,64.30666000000001,4.9536,79.42666
53.0,65.21999000000001,4.958133,79.42666
54.0,65.90665999999999,4.9624,79.42666
55.0,65.79333,4.9536,79.31333000000001
56.0,64.64666,4.9624,79.31333000000001
57.0,64.99333,4.979733,79.19999
58.0,65.79333,4.9536,79.19999
59.0,66.02666,4.958133,79.19999
60.0,66.02666,4.9624,79.19999
61.0,65.67999,4.979733,79.08666
62.0,66.47999,4.966667,79.08666
63.0,65.45333,4.975467,79.08666
64.0,66.71333,4.9624,78.97332
65.0,67.28666,4.970933,78.97332
66.0,66.14,4.966667,78.85999
67.0,65.67999,4.970933,78.85999
68.0,66.71333,4.958133,78.85999
69.0,66.02666,4.966667,78.85999
70.0,66.71333,4.975467,78.73999
71.0,65.67999,4.975467,78.73999
72.0,66.36666,4.966667,78.62666
73.0,67.28666,4.975467,78.62666
74.0,66.25332999999999,4.970933,78.62666
75.0,66.82666,4.975467,78.62666
76.0,66.25332999999999,4.984,78.51332
77.0,67.86,4.958133,78.51332
78.0,67.16666,4.970933,78.51332
79.0,67.39999,4.9536,78.51332
80.0,67.62666,4.975467,78.39999
81.0,67.86,4.970933,78.39999
82.0,67.28666,4.979733,78.28666
83.0,67.28666,4.970933,78.28666
84.0,67.39999,4.9536,78.28666
85.0,67.16666,4.958133,78.16666
86.0,67.97332999999999,4.9536,78.16666
87.0,67.62666,4.975467,78.05333
88.0,68.19999,4.975467,78.05333
89.0,68.54666,4.975467,78.05333
90.0,68.65999000000001,4.975467,78.05333
91.0,67.39999,4.958133,77.93999000000001
92.0,68.19999,4.979733,77.93999000000001
93.0,68.42666,4.966667,77.93999000000001
94.0,69.34666,4.975467,77.82666
95.0,69.12,4.975467,77.82666
96.0,68.77333,4.975467,77.71333
97.0,67.86,4.966667,77.71333
98.0,68.65999000000001,4.958133,77.71333
99.0,68.77333,4.975467,77.71333
100.0,69.23333000000001,4.988533,77.59333000000001
101.0,68.77333,4.9624,77.59333000000001
102.0,68.65999000000001,4.970933,77.47999
103.0,68.42666,4.958133,77.47999
104.0,69.69333,4.979733,77.47999
105.0,69.12,4.970933,77.36666
106.0,68.31332,4.9536,77.36666
107.0,69.69333,4.958133,77.36666
108.0,70.25999,4.9624,77.36666
109.0,69.57332000000001,4.979733,77.25332
110.0,70.49333,4.949333,77.25332
111.0,69.91999,4.979733,77.13999
112.0,70.25999,4.966667,77.13999
113.0,69.57332000000001,4.975467,77.13999
114.0,70.60665999999999,4.966667,77.02666
115.0,71.17999,4.966667,77.02666
116.0,70.14666,4.970933,76.90666
117.0,71.06666,4.966667,76.90666
118.0,71.17999,4.9536,76.90666
119.0,70.83333,4.949333,76.90666
120.0,71.29332000000001,4.975467,76.79332
121.0,70.83333,4.966667,76.79332
122.0,70.83333,4.975467,76.79332
123.0,70.14666,4.979733,76.67998999999999
124.0,70.49333,4.958133,76.67998999999999
125.0,69.23333000000001,4.975467,76.56666
126.0,70.60665999999999,4.966667,76.56666
127.0,71.29332000000001,4.979733,76.56666
128.0,71.06666,4.975467,76.56666
129.0,70.83333,4.958133,76.45333
130.0,71.29332000000001,4.975467,76.33333
131.0,71.52665999999999,4.966667,76.33333
132.0,71.86666,4.958133,76.33333
133.0,72.55332,4.9624,76.33333
134.0,71.52665999999999,4.9624,76.21999
135.0,70.83333,4.979733,76.21999
136.0,71.40666,4.966667,76.21999
137.0,71.86666,4.966667,76.10666
138.0,72.32665999999999,4.9624,76.10666
139.0,71.75333,4.975467,75.99332
140.0,73.01332000000001,4.970933,75.99332
141.0,71.97999,4.979733,75.99332
142.0,72.32665999999999,4.984,75.87998999999999
143.0,73.92666,4.979733,75.87998999999999
144.0,72.89999,4.970933,75.75999
145.0,70.83333,4.979733,75.75999
146.0,72.66666000000001,4.970933,75.75999
147.0,72.32665999999999,4.970933,75.75999
148.0,73.23998999999999,4.9536,75.64666
149.0,72.66666000000001,4.975467,75.64666
150.0,73.47333,4.979733,75.64666
151.0,73.23998999999999,4.966667,75.64666
152.0,73.69999,4.9536,75.53332
153.0,73.47333,4.9928,75.53332
154.0,73.23998999999999,4.966667,75.41999
155.0,72.32665999999999,4.975467,75.30666000000001
156.0,72.66666000000001,4.949333,75.30666000000001
157.0,73.12666,4.966667,75.30666000000001
158.0,73.92666,4.966667,75.30666000000001
159.0,74.27332,4.975467,75.19333
160.0,73.35999,4.9536,75.19333
161.0,73.23998999999999,4.970933,75.19333
162.0,74.15999,4.975467,75.19333
163.0,73.23998999999999,4.975467,75.07333
164.0,73.23998999999999,4.984,75.07333
165.0,73.81333,4.9624,74.95998999999999
166.0,73.35999,4.9624,74.95998999999999
167.0,74.95998999999999,4.9536,74.95998999999999
168.0,73.58666000000001,4.970933,74.84666
169.0,74.38666,4.958133,74.84666
170.0,74.15999,4.966667,74.73333
171.0,73.58666000000001,4.979733,74.73333
172.0,75.30666000000001,4.984,74.73333
173.0,74.38666,4.9536,74.61999
174.0,74.15999,4.975467,74.61999
175.0,74.95998999999999,4.9536,74.61999
176.0,75.75999,4.970933,74.61999
177.0,74.84666,4.9624,74.49999
178.0,73.81333,4.979733,74.49999
179.0,75.41999,4.958133,74.38666
180.0,74.27332,4.979733,74.38666
181.0,75.53332,4.988533,74.38666
182.0,75.30666000000001,4.966667,74.27332
183.0,75.30666000000001,4.984,74.27332
184.0,76.79332,4.958133,74.15999
185.0,75.19333,4.975467,74.15999
186.0,76.79332,4.966667,74.15999
187.0,75.99332,4.988533,74.04666
188.0,74.38666,4.958133,74.04666
189.0,74.49999,4.966667,74.04666
190.0,75.30666000000001,4.966667,74.04666
191.0,75.53332,4.975467,73.92666
192.0,75.53332,4.979733,73.81333
193.0,76.67998999999999,4.9624,73.81333
194.0,75.19333,4.958133,73.81333
195.0,75.75999,4.966667,73.81333
196.0,75.87998999999999,4.966667,73.69999
197.0,75.64666,4.975467,73.58666000000001
198.0,75.41999,4.966667,73.58666000000001
199.0,75.30666000000001,4.988533,73.58666000000001
200.0,74.73333,4.958133,73.47333
201.0,75.64666,4.970933,73.47333
202.0,76.79332,4.975467,73.47333
203.0,75.53332,4.9624,73.47333
204.0,76.45333,4.9536,73.35999
205.0,75.75999,4.966667,73.23998999999999
206.0,77.71333,4.9624,73.23998999999999
207.0,76.90666,4.966667,73.23998999999999
208.0,76.56666,4.979733,73.23998999999999
209.0,76.67998999999999,4.970933,73.12666
210.0,76.33333,4.979733,73.01332000000001
211.0,75.99332,4.966667,73.01332000000001
212.0,77.36666,4.979733,73.01332000000001
213.0,77.71333,4.9624,72.89999
214.0,77.59333000000001,4.975467,72.89999
215.0,77.13999,4.966667,72.89999
216.0,77.25332,4.966667,72.89999
217.0,76.90666,4.966667,72.78666
218.0,76.45333,4.958133,72.66666000000001
219.0,78.05333,4.966667,72.66666000000001
220.0,76.79332,4.958133,72.66666000000001
221.0,77.36666,4.979733,72.55332
222.0,77.71333,4.9536,72.55332
223.0,77.13999,4.945067,72.43999
224.0,77.02666,4.966667,72.43999
225.0,78.28666,4.966667,72.43999
226.0,76.90666,4.9624,72.32665999999999
227.0,77.36666,4.958133,72.32665999999999
228.0,78.85999,4.9624,72.32665999999999
229.0,77.93999000000001,4.970933,72.21333
230.0,77.13999,4.979733,72.21333
231.0,77.59333000000001,4.966667,72.09333
232.0,77.82666,4.970933,72.09333
233.0,77.71333,4.975467,72.09333
234.0,77.93999000000001,4.975467,71.97999
235.0,77.82666,4.984,71.86666
236.0,77.71333,4.9624,71.86666
237.0,77.71333,4.966667,71.86666
238.0,79.19999,4.958133,71.75333
239.0,78.62666,4.975467,71.75333
240.0,78.39999,4.9928,71.75333
241.0,77.47999,4.966667,71.63999
242.0,77.36666,4.966667,71.63999
243.0,77.82666,4.975467,71.52665999999999
244.0,78.62666,4.966667,71.52665999999999
245.0,79.42666,4.949333,71.52665999999999
246.0,79.19999,4.975467,71.40666
247.0,77.47999,4.958133,71.29332000000001
248.0,78.05333,4.966667,71.29332000000001
249.0,77.71333,4.958133,71.29332000000001
250.0,77.93999000000001,4.975467,71.17999
251.0,78.28666,4.970933,71.17999
252.0,79.77332,4.979733,71.17999
253.0,80.23331999999999,4.975467,71.06666
254.0,79.08666,4.975467,71.06666
255.0,79.08666,4.975467,70.95333000000001
256.0,79.42666,4.975467,70.83333
257.0,80.11999,4.958133,70.83333
258.0,79.88665999999999,4.970933,70.83333
259.0,78.85999,4.966667,70.71999
260.0,79.88665999999999,4.966667,70.71999
261.0,78.85999,4.966667,70.71999
262.0,79.65999000000001,4.979733,70.60665999999999
263.0,79.88665999999999,4.966667,70.60665999999999
264.0,79.65999000000001,4.970933,70.49333
265.0,79.42666,4.970933,70.49333
266.0,78.28666,4.975467,70.37999
267.0,79.54666,4.9624,70.37999
268.0,79.08666,4.9928,70.25999
269.0,79.99999,4.975467,70.25999
270.0,78.85999,4.984,70.14666
271.0,78.51332,4.979733,70.14666
272.0,80.69332999999999,4.9624,70.14666
273.0,79.08666,4.9624,70.03332
274.0,80.23331999999999,4.966667,69.91999
275.0,80.34666,4.979733,69.91999
276.0,79.99999,4.975467,69.91999
277.0,80.45999,4.988533,69.80666
278.0,80.80666,4.970933,69.69333
279.0,79.65999000000001,4.9536,69.69333
280.0,81.25999,4.975467,69.69333
281.0,80.91999,4.984,69.57332000000001
282.0,79.65999000000001,4.975467,69.57332000000001
283.0,80.69332999999999,4.970933,69.45999
284.0,80.80666,4.949333,69.34666
285.0,80.11999,4.975467,69.34666
286.0,79.99999,4.958133,69.23333000000001
287.0,80.69332999999999,4.966667,69.12
288.0,81.25999,4.958133,69.12
289.0,81.37999,4.975467,68.99999
290.0,81.83333,4.979733,68.99999
291.0,81.60665999999999,4.9536,68.88665999999999
292.0,82.86666,4.9624,68.77333
293.0,82.40666,4.975467,68.77333
294.0,81.95331999999999,4.975467,68.65999000000001
295.0,82.40666,4.970933,68.54666
296.0,82.17999,4.966667,68.54666
297.0,81.37999,4.9536,68.42666
298.0,80.45999,4.975467,68.42666
299.0,81.03333,4.979733,68.19999
300.0,81.60665999999999,4.984,68.19999
301.0,80.80666,4.958133,68.08666
302.0,81.03333,4.9624,67.97332999999999
303.0,81.03333,4.979733,67.97332999999999
304.0,81.25999,4.9624,67.86
305.0,80.80666,4.966667,67.86
306.0,80.45999,4.9536,67.62666
307.0,79.88665999999999,4.970933,67.62666
308.0,80.69332999999999,4.966667,67.51333
309.0,80.23331999999999,4.975467,67.39999
310.0,79.54666,4.975467,67.39999
311.0,80.45999,4.9624,67.28666
312.0,78.39999,4.970933,67.28666
313.0,78.85999,4.9624,67.05332
314.0,78.73999,4.970933,67.05332
315.0,79.99999,4.958133,66.93999000000001
316.0,79.42666,4.958133,66.82666
317.0,78.28666,4.9536,66.82666
318.0,78.28666,4.958133,66.71333
319.0,78.39999,4.966667,66.71333
320.0,79.08666,4.966667,66.59333
321.0,78.62666,4.984,66.47999
322.0,78.51332,4.9536,66.47999
323.0,79.42666,4.970933,66.25332999999999
324.0,77.93999000000001,4.958133,66.25332999999999
325.0,77.93999000000001,4.979733,66.14
326.0,77.93999000000001,4.979733,66.02666
327.0,77.93999000000001,4.984,66.02666
328.0,76.90666,4.958133,65.90665999999999
329.0,78.39999,4.979733,65.79333
330.0,77.47999,4.979733,65.79333
331.0,76.90666,4.970933,65.67999
332.0,77.02666,4.958133,65.56666
333.0,77.71333,4.966667,65.45333
334.0,76.56666,4.9536,65.45333
335.0,77.13999,4.9536,65.33331999999999
336.0,76.56666,4.958133,65.21999000000001
